run_id,ts,mode,config,kv_dtype,model_key,gpu,idx,gold,pred,correct,latency_ms,out_sha1,out_len,gpu_kv_cache_tokens,n_shot,task,needle_depth,needle_depth_actual,needle_pos,prompt_tokens,desc,foreign_gpu_count,foreign_max_util,level,log
20260831-184433-m5-needle,2026-08-31T18:45:42.927150+08:00,needle,bf16,auto,qwen-awq,0,0,4266,4266,True,1773.9,033f9679d22b55ad,533,273872,0,needle,0.05,0.0498,199,3997,無損基準,6,100,HEAVY,/ssd7/hungwei/paper-hkv/runs/20260831-184433-m5-needle/bf16/server.log
20260831-184433-m5-needle,2026-08-31T18:45:44.736059+08:00,needle,bf16,auto,qwen-awq,0,1,9408,9408,True,1532.6,167c6a87e611c60e,405,273872,0,needle,0.05,0.0498,199,3997,無損基準,6,100,HEAVY,/ssd7/hungwei/paper-hkv/runs/20260831-184433-m5-needle/bf16/server.log
20260831-184433-m5-needle,2026-08-31T18:45:46.288403+08:00,needle,bf16,auto,qwen-awq,0,2,8450,8450,True,1261.8,488139d33f1b4f4e,233,273872,0,needle,0.05,0.0498,199,3997,無損基準,6,98,HEAVY,/ssd7/hungwei/paper-hkv/runs/20260831-184433-m5-needle/bf16/server.log
20260831-184433-m5-needle,2026-08-31T18:45:50.265631+08:00,needle,bf16,auto,qwen-awq,0,3,8228,8228,True,3708.1,38823658abe8afd8,1592,273872,0,needle,0.05,0.0498,199,3997,無損基準,6,100,HEAVY,/ssd7/hungwei/paper-hkv/runs/20260831-184433-m5-needle/bf16/server.log
20260831-184433-m5-needle,2026-08-31T18:45:51.854108+08:00,needle,bf16,auto,qwen-awq,0,4,7681,7681,True,1315.4,3a262840153abec4,232,273872,0,needle,0.25,0.2479,991,3997,無損基準,6,100,HEAVY,/ssd7/hungwei/paper-hkv/runs/20260831-184433-m5-needle/bf16/server.log
20260831-184433-m5-needle,2026-08-31T18:45:55.720589+08:00,needle,bf16,auto,qwen-awq,0,5,7013,7013,True,3598.5,b89dcf7210862fae,1582,273872,0,needle,0.25,0.2479,991,3997,無損基準,6,100,HEAVY,/ssd7/hungwei/paper-hkv/runs/20260831-184433-m5-needle/bf16/server.log
20260831-184433-m5-needle,2026-08-31T18:45:59.625912+08:00,needle,bf16,auto,qwen-awq,0,6,9215,9215,True,3639.9,a628e8f4c8fef415,1547,273872,0,needle,0.25,0.2479,991,3997,無損基準,6,98,HEAVY,/ssd7/hungwei/paper-hkv/runs/20260831-184433-m5-needle/bf16/server.log
20260831-184433-m5-needle,2026-08-31T18:46:01.325802+08:00,needle,bf16,auto,qwen-awq,0,7,7890,7890,True,1441.2,8a94296cfcd1437a,398,273872,0,needle,0.25,0.2479,991,3997,無損基準,6,100,HEAVY,/ssd7/hungwei/paper-hkv/runs/20260831-184433-m5-needle/bf16/server.log
20260831-184433-m5-needle,2026-08-31T18:46:05.266917+08:00,needle,bf16,auto,qwen-awq,0,8,9434,9434,True,3676.8,5221bdf2989b66a7,1530,273872,0,needle,0.5,0.4956,1981,3997,無損基準,6,100,HEAVY,/ssd7/hungwei/paper-hkv/runs/20260831-184433-m5-needle/bf16/server.log
20260831-184433-m5-needle,2026-08-31T18:46:06.721936+08:00,needle,bf16,auto,qwen-awq,0,9,5382,5382,True,1186.8,533a24ee8db644f7,388,273872,0,needle,0.5,0.4956,1981,3997,無損基準,6,97,HEAVY,/ssd7/hungwei/paper-hkv/runs/20260831-184433-m5-needle/bf16/server.log
